page	route	sequence	name	date	location	miles	chains	restriction	miles.chains
0055	SW105	048	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Knighton (No 33A) Crossing	132	38		132.38
0055	SW105	048	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Lewell (No 39) Crossing	132	55		132.55
0055	SW105	048	Clapham Junction to Weymouth BML2 Wessex	02/12/06		134	71	*	134.71
0055	SW105	048	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Syward UWC	135	02		135.02
0055	SW105	048	Clapham Junction to Weymouth BML2 Wessex	02/12/06		135	13	*	135.13
0055	SW105	048	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Dorchester South SB (DR)	135	13	X	135.13
0055	SW105	048	Clapham Junction to Weymouth BML2 Wessex	02/12/06	DORCHESTER SOUTH	135	70		135.70
0056	SW105	049	Clapham Junction to Weymouth BML2 WEY Wessex	02/12/06	Dorchester Jn	136	15		136.15
0056	SW105	049	Clapham Junction to Weymouth BML2 WEY Wessex	02/12/06		162	14		162.14
0056	SW105	049	Clapham Junction to Weymouth BML2 WEY Wessex	02/12/06		162	14	*	162.14
0056	SW105	049	Clapham Junction to Weymouth BML2 WEY Wessex	02/12/06		162	43	*	162.43
0056	SW105	049	Clapham Junction to Weymouth BML2 WEY Wessex	02/12/06		164	02	*	164.02
0057	SW105	050	Clapham Junction to Weymouth BML2 BML3 Wessex	02/12/06	Bincombe Tunnel	164	44		164.44
0057	SW105	050	Clapham Junction to Weymouth BML2 BML3 Wessex	02/12/06	(819 yards)	165	02		165.02
0057	SW105	050	Clapham Junction to Weymouth BML2 BML3 Wessex	02/12/06	UPWEY	166	30		166.30
0057	SW105	050	Clapham Junction to Weymouth BML2 BML3 Wessex	02/12/06		163	21	*	163.21
0058	SW105	051	Clapham Junction to Weymouth WTQ BML3 Wessex	22/03/08		163	31	*	163.31
0058	SW105	051	Clapham Junction to Weymouth WTQ BML3 Wessex	22/03/08	WEYMOUTH	168	63		168.63
page	route	sequence	name	date	location	miles	chains	restriction	miles.chains
0074	SW115	001	Worting Junction to Exeter St. Davids BAE1 Wessex	06/05/08	Worting Jn			X	.
0074	SW115	001	Worting Junction to Exeter St. Davids BAE1 Wessex	06/05/08	Parlour Gates	51	15	UWC	51.15
0074	SW115	001	Worting Junction to Exeter St. Davids BAE1 Wessex	06/05/08		51	27	*	51.27
0074	SW115	001	Worting Junction to Exeter St. Davids BAE1 Wessex	06/05/08	OVERTON	55	42		55.42
0074	SW115	001	Worting Junction to Exeter St. Davids BAE1 Wessex	06/05/08	Forty Steps	56	31	UWC	56.31
0075	SW115	002	Worting Junction to Exeter St. Davids BAE1 Wessex	06/05/08	WHITCHURCH	59	08		59.08
0075	SW115	002	Worting Junction to Exeter St. Davids BAE1 Wessex	06/05/08	Enham	64	55	UWC	64.55
0075	SW115	002	Worting Junction to Exeter St. Davids BAE1 Wessex	06/05/08	ANDOVER	66	19		66.19
0075	SW115	002	Worting Junction to Exeter St. Davids BAE1 Wessex	06/05/08	Andover Ground Frame	66	27		66.27
0075	SW115	002	Worting Junction to Exeter St. Davids BAE1 Wessex	06/05/08		66	51	*	66.51
0075	SW115	002	Worting Junction to Exeter St. Davids BAE1 Wessex	06/05/08	Gallachers	66	75	UWC	66.75
0075	SW115	002	Worting Junction to Exeter St. Davids BAE1 Wessex	06/05/08		67	61		67.61
0075	SW115	002	Worting Junction to Exeter St. Davids BAE1 Wessex	06/05/08		0	00		0.00
0075	SW115	002	Worting Junction to Exeter St. Davids BAE1 Wessex	06/05/08	Ludgershall	5	64		5.64
0076	SW115	003	Worting Junction to Exeter St. Davids BAE1 LAV Wessex	06/05/08	GRATELEY	72	49		72.49
0076	SW115	003	Worting Junction to Exeter St. Davids BAE1 LAV Wessex	06/05/08		78	00	*	78.00
0076	SW115	003	Worting Junction to Exeter St. Davids BAE1 LAV Wessex	06/05/08	Targetts Crossing	78	21		78.21
0076	SW115	003	Worting Junction to Exeter St. Davids BAE1 LAV Wessex	06/05/08		82	00	*	82.00
0076	SW115	003	Worting Junction to Exeter St. Davids BAE1 LAV Wessex	06/05/08	Laverstock North Jn	82	05		82.05
0077	SW115	004	Worting Junction to Exeter St. Davids BAE1 RTJ2 BAE2 Wessex	02/12/06	Salisbury Tunnel Jn	32	36		32.36
